stage,Epithelial,Immune,Muscle,Other,Secretory,Stromal
21Day,1.11,0,0,0,0,0
3Month,2.5,0.1,0.1,0,0.1,0.31
22Month,25.01,0.82,0.14,0.82,0.14,0
