stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
72hpf,0.28,0,0.28,7.89,0.28,0.85
21Day,0.37,0.37,0,7.03,0.37,0.74
3Month,0.21,1.56,0,0.1,0,0
