stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,2,0,10,0,2
72hpf,0.28,0,1.69,0.28,0.56
21Day,0.37,0.37,2.22,0,0.37
22Month,0.27,0,0,0.14,0
