stage,Epithelial,Germ,Immune,Neuron,Other,Stromal
72hpf,0.56,0,0,0,0,0
21Day,0,0,0,0.37,0,0
3Month,1.04,10.92,0.21,0,0,0.31
22Month,0.41,0.27,0.41,0,0.14,0
