stage,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,1
72hpf,0.28,0,0,0.56,0,3.38
21Day,0.74,0,0,0,0,1.85
3Month,0,0,0,0,0,0.1
22Month,0.55,0.14,0.14,0.14,0.14,0
