stage,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,23,0,0,0
72hpf,0.85,0,2.25,0,0,0.56
21Day,1.11,0.37,2.22,0,0.37,0
22Month,0.41,0,0,0.27,0,0
