stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,3,0,0,0,1,4,0,0,1
72hpf,0.56,0.56,0,0,1.41,24.24,0,0,2.82
21Day,0,0,0.37,0,2.22,6.29,0,0.37,2.22
22Month,0,1.09,0,0.14,0,0,0.14,0,0
