stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,1,0,0,0,4
72hpf,0,0,0,0,2.25,2.82
21Day,0.37,0.74,1.11,1.11,0.74,0.74
