stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,1
72hpf,0,0,14.94,3.66,0,0.28
21Day,0,0,4.44,0,0.37,0.74
22Month,0.68,0.14,0,0,0,0
