stage,Endothelial,Epithelial,Germ,Immune,Other,Secretory,Stromal
72hpf,0,0,0,0,0,0.56,0
21Day,0,0,0,0,0,0.37,0
3Month,0,0.52,0.21,0.1,0,1.14,0.1
22Month,0.14,1.23,0,0.27,0.14,4.24,0.27
