stage,Endothelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,2,0,0,1
72hpf,0,0,0,0,1.97,0,0,0.28
21Day,0,0,0,0.37,5.92,0,0,0.37
22Month,0.27,0.14,0.27,0,0.96,0.27,1.09,0
