stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,0,0,0,3,0,0
72hpf,0,0,0,0,0,1.69,0.28,0
21Day,0,1.11,1.11,0,0.37,11.47,0,0
3Month,0,1.98,0,2.6,0.31,0,0,0.1
22Month,0.14,6.7,0,0.27,0.68,2.6,0,0
