stage,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,0,2,1,0,0
72hpf,0.28,0,0.85,0,0,0.85
21Day,1.11,0,0.74,0.37,0,1.85
3Month,0,0,0,0,0,0.1
22Month,0.68,0.27,0,0,0.14,0.14
