stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,18,0,0,0,0,0,0
72hpf,37.77,0,0,0,4.23,0,1.41
21Day,65.49,0.37,0,2.59,2.22,0,2.22
3Month,1.98,0,0.73,0.42,0.1,0.1,0
22Month,2.05,0,0,0.14,0.14,0,0
