stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,7,1,0,1,2,98,0,13
72hpf,0.28,2.82,0,0,0,1.41,15.5,0,3.66
21Day,0,1.85,1.11,0,0.37,1.85,9.25,0.37,5.55
3Month,0,0.31,0,0,0,0,0,0,0
22Month,0,0.55,0,0.41,0.14,0.14,0,0,0
