stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0.28,0,0,10.15,0
21Day,0.37,0,0.37,0,4.44,0.37
22Month,0,0,0,0.14,0.68,0
