stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,0,1,0,0,8,3
72hpf,0.28,0,0,0,0.85,3.38
21Day,0,2.22,0.37,0,1.11,4.07
3Month,0.1,0.52,0,0.62,0,0.31
