stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,2,0,1
72hpf,0.28,0,0,0.85,13.25,0,0.28
21Day,0.37,0.37,0,0.74,6.29,0.37,0
22Month,0.96,0,0.41,0,0.14,0,0.27
