stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
72hpf,0,0,0,12.68,0,0.56
21Day,0.37,0.37,0.37,5.55,0.37,0.37
3Month,0.1,0,0,0,0.1,0.1
22Month,0.41,0,0,0.14,0.14,0
