stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
21Day,0.37,0,0,0,0,0,0,0
3Month,0,0.83,1.04,0,0,0,0.1,0
22Month,0.68,3.01,0.82,0.41,0.14,0.27,0.14,0.55
