stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron
24hpf,19,1,0,0,1,1
72hpf,2.25,0,0,0,0,0
21Day,1.85,0,0.37,0,0,0.37
3Month,0.31,0.1,0,0.1,0.31,0
