stage,Endothelial,Epithelial,Erythroid,Neuron,Stromal
72hpf,0,0,0,0.56,0
21Day,0,0,0.37,1.85,0.37
3Month,0,0.1,0,0,0.1
22Month,0.14,0.55,0,0,0
