stage,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
72hpf,0.28,0,0,0,0,0
21Day,2.59,0.37,0,0,0.37,0
3Month,2.18,0,0.1,0.21,4.26,0.1
22Month,0.82,0,0.14,0.14,0.41,0
