stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,17,0,0,6
72hpf,0.56,0,0,0.28,8.74,0,0,1.41
21Day,1.85,2.96,0.74,0.37,6.29,0,0.37,3.7
22Month,0.41,0,0,0,0,1.09,0,0
