stage,Epithelial,Erythroid,Muscle,Neuron,Stromal
24hpf,0,0,0,1,1
72hpf,0.56,0,0.28,0.85,0
21Day,0,0.37,0,0.37,1.11
22Month,0,0,0,0.14,0.27
