stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0.37,0,1.48,0,0,0,0,0
3Month,2.91,0.1,11.55,0.31,0.31,0,0.21,0.52
22Month,0.68,0,3.28,0.14,0,0.14,0,0.14
