stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other
24hpf,1,0,0,0,0,2,0
72hpf,0,0.85,0,0,0,0,0
22Month,0,20.36,0.14,0.14,0.27,0.27,1.91
