stage,Epithelial,Muscle,Secretory,Stromal
24hpf,4,0,0,0
72hpf,5.36,0.28,0,0.28
21Day,2.96,0,0.37,0
3Month,0.73,0,0,0.1
22Month,1.23,0,0,0
