stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
24hpf,1,1,0,0,0,1
72hpf,0.28,0.56,0,0,0,0
21Day,0.74,0.74,0,0,0.37,2.96
3Month,1.25,0.73,5.82,0.21,0.1,0
