stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,1,68,0,1
72hpf,3.1,0.56,0,0.28,5.64,0,82.02
21Day,4.81,2.59,1.11,1.11,12.95,1.85,69.93
22Month,0,0,0,0,0.41,0,0
