stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,14,70,3,0,41,20,810,7,0,117
72hpf,9.86,100.34,14.66,1.13,9.58,17.76,622.04,4.23,5.92,94.14
21Day,2.22,133.57,52.91,0.74,68.82,37.37,192.39,0.37,11.1,102.49
3Month,19.35,657.08,13.31,103.7,306.02,31.31,15.71,1.25,19.56,104.54
22Month,21.32,438.78,10.11,28.15,159.74,9.16,19.81,24.32,6.7,56.3
