stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,0,1
72hpf,0,0.28,0,0,0,0,0,0
21Day,0,1.48,0.37,0.37,0.37,0,0,0
3Month,0,1.46,0.83,0.42,0,0.1,0.1,0
22Month,0.27,2.05,0.82,0.55,0.14,0.27,0,0.27
