stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,1,0,0,0,1,0,0
72hpf,0,0,0,0,0.56,0,0
21Day,0,0,0,0,0.37,0,0.37
3Month,0,1.46,4.47,0.1,0,0.21,0.1
22Month,0.14,1.5,0,0,0.27,0,0
