stage,Endothelial,Epithelial,Germ,Neuron,Secretory,Stromal
72hpf,0,0,0,0.85,0,0
21Day,0,0,0,0,0.37,0
3Month,0.1,0.62,6.24,0,0,0.1
22Month,0,0.55,1.78,0.14,0,0.14
