stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,7,0,0,5,0,10
72hpf,0.56,0,0,0.28,0,2.25
21Day,0,0,0.37,0,0.37,0.74
3Month,0,0.21,0.1,0,0,0
