stage,Epithelial,Germ,Immune,Muscle,Stromal
24hpf,1,0,7,0,0
72hpf,0,0,0.85,0,0
21Day,0,0,0.37,0,0
3Month,0.83,3.74,4.16,0.1,0.21
22Month,0.14,0,0.27,0,0
