stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0,5.92,0
21Day,0.37,0.37,0,0.37,4.81,0.74
3Month,0.42,0,0,0,0,0
22Month,0.55,0,0.27,0,0,0
