stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory
72hpf,0,0,0.28,0,0,0
21Day,1.48,0,1.48,0,0.37,0.37
3Month,4.16,0.1,0.31,0.1,0,0
22Month,1.64,0,0,0,0,0
