stage,Endothelial,Epithelial,Immune,Muscle,Stromal
24hpf,0,1,0,0,0
21Day,0,0.74,0.37,0,0
3Month,0,1.46,0.83,0.1,0.21
22Month,0.14,0.41,0.55,0,0
