stage,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,1,0,0
72hpf,0.28,0,0,0.56,0,0
21Day,0,0,0,0,0,0.37
3Month,0.1,0,0,0,0,0.1
22Month,0.68,0.14,0.14,0,0.14,0
