stage,Endothelial,Epithelial,Erythroid,Immune,Stromal
24hpf,0,0,1,0,0
72hpf,0,0,9.02,0,0
21Day,0,0.74,8.14,0,0
3Month,0,0.52,0,0,0.1
22Month,0.14,2.05,0.14,0.41,0
