stage,Endothelial,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
24hpf,0,1,0,0,0,0,0
3Month,0.1,6.24,0.21,0.31,0.1,0,0.31
22Month,0,3.69,13.12,0.82,0.27,0.14,0.41
