stage,Endothelial,Epithelial,Germ,Neuron,Other,Stromal
24hpf,0,0,0,1,0,0
72hpf,0.28,1.69,0.28,4.51,0.28,1.41
21Day,0,0,0,2.59,0,1.48
3Month,0.1,1.25,0,0.1,0,0
22Month,0.14,0.82,0,0,0.14,0
