stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,7,0,1
72hpf,1.13,0.56,0,0.28,84.55,0,13.53
21Day,0.37,0,0.37,0.37,17.39,0.37,6.29
22Month,0.82,0,0.27,0,0,0,0.14
