stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
24hpf,0,0,3,0,0,0
72hpf,0,0,1.69,0,0,0
21Day,0.37,0,2.22,0,0,0.37
3Month,0.73,0.1,8.22,0.1,0.1,0.1
22Month,0.55,0.14,3.83,0,0,0
