stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,2,0
21Day,0,0,0,0.37,0
3Month,0,0.1,0.21,0.62,0
22Month,0.55,0.14,0.55,0.14,0.14
