stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,1,0,0
72hpf,0.56,0,0,0,0,0,0.28
21Day,0.74,0,0,0,0,0,0
3Month,4.68,0.42,0.21,0,0,0,0.21
22Month,20.91,0.27,0.27,0.14,0.14,0.14,0
