stage,Endothelial,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0.28,0,0,0.28,0,0,0.56
21Day,0,0,0.37,0.37,0,0.37,3.33
3Month,0,0.21,0,0,0,0.1,0
22Month,0.27,0.96,0,0,0.14,0,0
