stage,Epithelial,Erythroid,Immune,Neuron,Other
72hpf,0,0,0.28,1.41,0
21Day,0,0,0.74,1.11,0
3Month,0.73,0.1,0.1,0,0
22Month,0.68,0,0.68,0,0.14
