stage,Epithelial,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,2,0
72hpf,0,0,0,0,0.85,0
21Day,0.37,0,0.37,0,0.74,0
3Month,3.85,1.46,0.21,0.1,0,0
22Month,0.68,0.55,0.14,0,0,0.14
