stage,Endothelial,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,1,0,1
72hpf,0,0.56,0,0,0,1.69
21Day,0,0,0,0.74,0,0.74
3Month,0,0,0.1,0.1,0.1,0
22Month,0.14,0.27,0,0,0,0
