stage,Endothelial,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,2,0,1
72hpf,0,0.28,0.28,1.97,0.28,5.64
21Day,0.37,0,1.11,1.48,0,2.59
3Month,0,0.1,0,0,0,0.21
