stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0.28,0.56,0,0
21Day,0,0.37,0.37,0,0,0,0,1.11
3Month,0.1,4.26,0,4.68,0.42,0.21,0,0.31
22Month,0,3.55,0,0,0.41,0,0.41,0.14
