stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,0,0,3,0,0
21Day,0,0.74,0,0.37,0,0,0
3Month,0,1.04,0.1,0.1,0,0,0.1
22Month,0.14,3.96,0,0.27,0,0.27,0
