stage,Epithelial,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,1,1
72hpf,0,0,0,0.28,3.1
21Day,0,0,0.37,0.37,1.48
3Month,0.1,0.21,0.21,0,0
22Month,1.09,0.14,0,0.14,0
