stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,0,0,1
72hpf,0,0.56,0,0,0,0.85,0,0.56,0.85
21Day,0,0,0.37,0,0.37,1.48,0,0.37,0.74
3Month,0.1,4.06,0,1.14,1.35,0.1,0,0.1,0.52
22Month,0.14,1.5,0.14,0.14,0,0,0.14,0,0.14
