stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,2,0,0,0,15,0,3
72hpf,0.28,0.28,0.28,0,0,3.38,0,0.56
21Day,0,0,0,0.37,0.37,0.74,0,0.74
3Month,0,0.1,0,2.08,0,0.1,0.1,0
22Month,0,2.73,0,0.41,0,0.14,0,0.27
