stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,0,0,0,0,0.56,0,0
21Day,0,0,0,0,0.37,0,0,0
3Month,4.68,0,0.1,0.31,0,0.21,0,0.1
22Month,1.64,0.14,0,0,0,0,0.14,0
