stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.28
21Day,0,0,0,4.07,1.11,0,0.74
3Month,0,0.52,0.73,0.1,0,0.1,0.21
22Month,0.14,1.91,0.96,0.27,0,0,0.27
