stage,Endothelial,Epithelial,Neuron,Other,Secretory
72hpf,0,0.28,0,0,0
21Day,0,1.11,0,0,0
3Month,0,0.52,0,0,0
22Month,0.27,5.88,0.14,0.14,0.27
