stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,3,0
72hpf,0.56,0.28,0,0.56,17.47,1.41
21Day,1.11,0,2.59,0,8.14,4.81
3Month,0.1,0,0.1,0.1,0,0
22Month,0.82,0,0,0,0,0
