stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Stromal
72hpf,0,0.56,0,0,2.54,0.85
21Day,0,0.74,0.74,1.11,1.85,2.59
22Month,0.41,0.27,0,0.14,0.14,0
