stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,1,0,0,0,6,0,0
72hpf,0,0.28,0,0,0.28,0,0.56
21Day,0,2.22,1.11,0.37,1.48,0.37,1.11
3Month,0.1,1.66,0.42,0.1,0.1,0,0
22Month,0,0.96,0.41,0,0.14,0,0.14
