stage,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,1,2,0
72hpf,0.28,0,0,0,9.86,0
21Day,0,0,0,0,2.96,0.74
3Month,0.52,0.73,0.31,0,0,0
22Month,0.14,0.27,0,0,0,0
